number,value,params_lr,params_reconst_ld,params_tau,user_attrs_efctv_bit_rate
0,18.128555297851562,0.00018730555947519642,2.6971938832578815,3.3581252480205404,2.884718179702759
1,18.428842544555664,0.00016287061218739623,4.307184567912315,0.3590073249413624,3.0196454524993896
2,18.01350975036621,0.0008546099968841813,3.2854006229439214,0.13629471695062687,2.9903573989868164
3,17.209976196289062,0.0004650748613614521,2.3966568820684997,1.3785499160218626,3.0533816814422607
4,18.973888397216797,0.00010790084316791458,2.9590670356173665,7.024664010103628,3.0610439777374268
5,18.523801803588867,0.000703494758072296,4.092704999504478,0.1469954646512839,2.948528289794922
6,19.280576705932617,0.00012325559962878435,4.724694188616759,0.17463780498328987,2.7909390926361084
7,15.601341247558594,0.0003981007231420475,3.3598435902086443,0.6332434424398188,3.1378159523010254
8,19.49006462097168,0.00018862762940054584,3.621998911692839,3.7209004448169245,2.9788901805877686
9,16.49303436279297,0.0009663566417644597,4.667543124939466,8.517720757040085,3.3557779788970947
10,17.475873947143555,0.00021309354805232694,2.332224447967872,0.29600462777767905,3.0708374977111816
11,19.40595245361328,0.00015435455394547138,2.4869432734374217,0.47506245793533114,3.265143632888794
12,16.276931762695312,0.0006844904354125321,4.686522294945095,1.0762581808377718,3.2105464935302734
13,14.773859024047852,0.0007449939792288601,3.3301380752573944,4.95753130470055,3.7682018280029297
14,18.202781677246094,0.00010885668242642848,4.170643947970327,3.6824284274240697,3.204360246658325
15,17.95878791809082,0.00015586774808518816,2.575345981357226,4.4482698291578275,3.323836326599121
16,16.037073135375977,0.0006899269810134426,2.3354174908740446,1.980460869978876,3.447239875793457
17,18.52259635925293,0.00033155515918780175,2.246498057841249,0.6040567124679233,2.839167356491089
18,18.532114028930664,0.0004218987385834263,3.7133373980608613,0.8403610363344252,3.1985034942626953
19,18.474206924438477,0.0003444227225387853,2.0288141921973044,0.9802894219939725,2.856166362762451
20,19.294763565063477,0.0003954783200124338,2.0458669506430565,1.0342624560012066,2.79070782661438
21,17.018571853637695,0.00036255284627338376,3.5048257651180363,2.0145642525696785,3.5279958248138428
22,18.08387565612793,0.0003592345139699694,3.532178381018445,1.8098251672937367,2.994009256362915
23,17.476459503173828,0.00036409965120950754,3.5194195856339796,1.752450732037493,3.0998246669769287
24,17.441570281982422,0.0004340227811284344,3.418842544059598,1.8585636501911935,3.1286020278930664
25,17.36716651916504,0.0004436570903369177,3.3962558962425766,1.8478154420871296,3.1461164951324463
26,18.367204666137695,0.00046178129896144244,3.5318933372891292,1.888644088914488,3.1362240314483643
27,17.65985870361328,0.0005101498831330842,3.1575517656388,2.149804850412435,3.003382921218872
28,17.366127014160156,0.0005548867435992234,3.0714756879304757,2.069249691929258,3.459261417388916
29,18.514888763427734,0.00058367048256951,2.8905333712466224,2.067410435559819,3.4763636589050293
30,19.035097122192383,0.0005515600013812659,2.93243417532292,2.3455863188768706,3.1812551021575928
31,17.4788818359375,0.000549262155166333,2.924594499020056,5.671689842238048,3.2030766010284424
32,16.76314353942871,0.0005339287077427117,3.024906330680246,5.679054613992403,3.5924153327941895
