train_loss,train_auc,val_loss,val_auc,agent_id,round_id
5.339747419599048,tensor(0.5007),5.820658206939697,tensor(0.4994),global,0
2.773561356728559,tensor(0.5015),2.897213935852051,tensor(0.4983),global,1
2.355604845278825,tensor(0.4996),2.3810789585113525,tensor(0.5005),global,2
2.2874277842670194,tensor(0.5010),2.290454626083374,tensor(0.5002),global,3
2.271408659658374,tensor(0.5012),2.2679331302642822,tensor(0.4999),global,4
2.266347635280022,tensor(0.5022),2.260986566543579,tensor(0.5006),global,5
2.2641359610846363,tensor(0.5024),2.2579903602600098,tensor(0.5028),global,6
2.2623721933163736,tensor(0.5022),2.255877733230591,tensor(0.5045),global,7
2.260263357834605,tensor(0.5022),2.2533388137817383,tensor(0.5063),global,8
2.2579450780506964,tensor(0.5021),2.25068998336792,tensor(0.5070),global,9
2.255603734396068,tensor(0.5023),2.247976303100586,tensor(0.5077),global,10
2.2533349387646404,tensor(0.5023),2.245258092880249,tensor(0.5087),global,11
2.2511517591678354,tensor(0.5027),2.242663621902466,tensor(0.5094),global,12
2.249169066036366,tensor(0.5032),2.2402641773223877,tensor(0.5099),global,13
2.2473873967420235,tensor(0.5038),2.2380826473236084,tensor(0.5105),global,14
2.2458527911631556,tensor(0.5044),2.236210823059082,tensor(0.5108),global,15
2.2444841400685283,tensor(0.5051),2.2345497608184814,tensor(0.5112),global,16
2.2433421576734385,tensor(0.5060),2.233133554458618,tensor(0.5119),global,17
2.242312826773054,tensor(0.5071),2.2319157123565674,tensor(0.5126),global,18
2.241419184905529,tensor(0.5083),2.2309083938598633,tensor(0.5131),global,19
2.2406263471435692,tensor(0.5096),2.230030059814453,tensor(0.5138),global,20
2.2399028774717475,tensor(0.5110),2.2292470932006836,tensor(0.5145),global,21
2.239267856952985,tensor(0.5124),2.228595495223999,tensor(0.5152),global,22
2.238696409104629,tensor(0.5136),2.2280004024505615,tensor(0.5159),global,23
2.238202005860319,tensor(0.5148),2.2275619506835938,tensor(0.5164),global,24
2.237751630801593,tensor(0.5158),2.2271738052368164,tensor(0.5167),global,25
2.2373343122020595,tensor(0.5167),2.2268452644348145,tensor(0.5170),global,26
2.2369621155415187,tensor(0.5175),2.2265353202819824,tensor(0.5173),global,27
2.236621287693199,tensor(0.5183),2.2262473106384277,tensor(0.5175),global,28
2.2363262430856765,tensor(0.5190),2.225982189178467,tensor(0.5177),global,29
2.2360447054828256,tensor(0.5196),2.22576904296875,tensor(0.5178),global,30
2.235773375532376,tensor(0.5203),2.2255775928497314,tensor(0.5180),global,31
2.2355293966812995,tensor(0.5209),2.22541880607605,tensor(0.5181),global,32
2.2352920100321723,tensor(0.5215),2.225273609161377,tensor(0.5183),global,33
2.235080461116606,tensor(0.5221),2.2251572608947754,tensor(0.5184),global,34
2.234892578205843,tensor(0.5226),2.2250635623931885,tensor(0.5185),global,35
2.2347152797462773,tensor(0.5231),2.224978446960449,tensor(0.5186),global,36
2.234534351718021,tensor(0.5236),2.224879741668701,tensor(0.5189),global,37
2.2343506154588733,tensor(0.5241),2.2248013019561768,tensor(0.5191),global,38
2.2341758055292305,tensor(0.5246),2.2246809005737305,tensor(0.5194),global,39
2.233995874652826,tensor(0.5251),2.2245371341705322,tensor(0.5197),global,40
2.2338261118860383,tensor(0.5256),2.224419355392456,tensor(0.5200),global,41
2.2336694184585295,tensor(0.5260),2.224306106567383,tensor(0.5203),global,42
2.2335051207290713,tensor(0.5265),2.224177837371826,tensor(0.5207),global,43
