mbytes_recived,mbytes_sent_to_worker,mse,mape%,mae,mbytes_sent_for_aggre,agent_id,round_id
0.19307518005371094,0.09066963195800781,5.908883395022713e-06,10.953125,0.0007788207731209695,0.47894954681396484,0,0
0.1934194564819336,0.09066963195800781,7.215456662379438e-06,10.984375,0.0007918456685729325,None,1,0
0.1934957504272461,0.09066963195800781,4.906943104288075e-06,10.703125,0.0007731667719781399,None,2,0
0.19372844696044922,0.09066963195800781,5.835689535160782e-06,10.8515625,0.0007745183538645506,None,3,0
0.1919546127319336,0.09066963195800781,6.1835316955694e-06,10.9453125,0.000842906127218157,None,4,0
0.14867019653320312,0.09051704406738281,3.057462890865281e-05,24.078125,0.0011492859339341521,0.4837360382080078,0,1
0.1578388214111328,0.0912466049194336,5.094776497571729e-05,31.890625,0.001579283270984888,None,1,1
0.14447593688964844,0.09193229675292969,9.532186959404498e-05,35.5625,0.0017517592059448361,None,2,1
0.14307403564453125,0.09146404266357422,4.29826213803608e-05,27.5625,0.0013644795399159193,None,3,1
0.12783145904541016,0.09126091003417969,9.043126192409545e-05,27.34375,0.001487747416831553,None,4,1
0.24530982971191406,0.09132575988769531,3.6303586966823786e-05,32.4375,0.001077776774764061,0.4838418960571289,0,2
0.16869544982910156,0.09145069122314453,0.00010136642958968878,55.40625,0.001961856847628951,None,1,2
0.1720571517944336,0.09140586853027344,6.66411651764065e-05,50.34375,0.0017824179958552122,None,2,2
0.1462259292602539,0.09134197235107422,6.670002767350525e-05,47.59375,0.0016576537163928151,None,3,2
0.1553964614868164,0.09148979187011719,3.822179132839665e-05,35.46875,0.0013770820805802941,None,4,2
0.10334300994873047,0.09151554107666016,9.657625923864543e-06,28.15625,0.0007652933127246797,0.48395633697509766,0,3
0.16804218292236328,0.09159660339355469,0.00010869258403545246,61.46875,0.0017289399402216077,None,1,3
0.13180255889892578,0.0915842056274414,4.122647806070745e-05,47.21875,0.001297829207032919,None,2,3
0.112274169921875,0.09127616882324219,7.722350710537285e-05,61.375,0.0017643672181293368,None,3,3
0.09229469299316406,0.09193611145019531,1.7838368876255117e-05,30.296875,0.0009910913649946451,None,4,3
0.0414886474609375,0.09162425994873047,9.630356544221286e-06,36.6875,0.0008916084771044552,0.4839763641357422,0,4
0.1514434814453125,0.09165191650390625,0.0001279751886613667,68.75,0.0017167878104373813,None,1,4
0.10620594024658203,0.09098434448242188,1.9472150597721338e-05,39.90625,0.0009603290818631649,None,2,4
0.11707496643066406,0.09205245971679688,9.963788033928722e-05,61.21875,0.0015372387133538723,None,3,4
0.1002054214477539,0.09182167053222656,1.394175887980964e-05,28.15625,0.000812710786703974,None,4,4
0.11679935455322266,0.18324851989746094,3.8561020687666314e-07,12.84375,0.0002985287574119866,0.48395824432373047,0,5
0.12074565887451172,0.1833038330078125,2.3249131686498004e-07,10.8046875,0.0002503747818991542,None,1,5
0.11632156372070312,0.18196868896484375,3.11882303094535e-07,11.90625,0.0002641124010551721,None,2,5
0.13078784942626953,0.18410491943359375,2.0209913031976612e-07,8.4921875,0.0002045035653281957,None,3,5
0.12184906005859375,0.18364334106445312,3.4156104788962693e-07,10.703125,0.0002902562264353037,None,4,5
0.04863548278808594,0.09077262878417969,2.0035863599332515e-06,21.171875,0.0004532691091299057,0.48400306701660156,0,6
0.03753089904785156,0.09094619750976562,1.2020562962788972e-06,19.765625,0.0004295080725569278,None,1,6
0.04543876647949219,0.09066963195800781,1.2133692735005752e-06,18.921875,0.0004080775543116033,None,2,6
0.03365898132324219,0.09073257446289062,1.1901490779564483e-06,19.84375,0.00044189736945554614,None,3,6
0.037090301513671875,0.09080314636230469,1.4172242117638234e-06,18.84375,0.00047679306589998305,None,4,6
0.054355621337890625,0.0913991928100586,3.231439222872723e-06,23.5,0.00047578063094988465,0.48403453826904297,0,7
0.016864776611328125,0.04480934143066406,2.4319094791280804e-06,25.59375,0.0005389357102103531,None,1,7
0.020575523376464844,0.04477214813232422,3.2461130103911273e-06,25.046875,0.0005192002281546593,None,2,7
0.008093833923339844,0.045060157775878906,2.182229764002841e-06,27.265625,0.0005745468661189079,None,3,7
0.017635345458984375,0.04520988464355469,4.635159257304622e-06,24.734375,0.0006132022244855762,None,4,7
0.019829750061035156,0.04474163055419922,5.299053555063438e-06,29.21875,0.0005898554227314889,0.4840269088745117,0,8
0.020853042602539062,0.044976234436035156,3.586980938052875e-06,29.5625,0.0005880192620679736,None,1,8
0.021253585815429688,0.04506874084472656,4.545027877611574e-06,28.515625,0.0005739041953347623,None,2,8
0.020524978637695312,0.04499626159667969,3.3831395285233157e-06,30.78125,0.0006293581682257354,None,3,8
0.018136024475097656,0.045520782470703125,6.221620878932299e-06,28.828125,0.0006765471189282835,None,4,8
0.025519371032714844,0.04522514343261719,6.782793207094073e-06,37.125,0.0006949930102564394,0.48403453826904297,0,9
0.011874198913574219,0.04501628875732422,4.847168838750804e-06,34.40625,0.0006718632066622376,None,1,9
0.013836860656738281,0.04496479034423828,7.084723620209843e-06,37.4375,0.0007106412667781115,None,2,9
0.008183479309082031,0.045078277587890625,5.790160230390029e-06,36.3125,0.0007292964728549123,None,3,9
0.010882377624511719,0.044936180114746094,8.040073225856759e-06,31.890625,0.0007304744212888181,None,4,9
0.0836944580078125,0.09045028686523438,1.740265673788599e-07,11.984375,0.00023033370962366462,0.4840555191040039,0,10
0.0848379135131836,0.09003257751464844,1.9731038491954678e-07,11.421875,0.00021665195527020842,None,1,10
0.07841968536376953,0.08992958068847656,1.3696050871203624e-07,11.6796875,0.00021173983986955136,None,2,10
0.07755088806152344,0.09015655517578125,2.1555597129463422e-07,12.5234375,0.00023917466751299798,None,3,10
0.07057476043701172,0.08987236022949219,2.5608019882383815e-07,12.140625,0.00026323634665459394,None,4,10
0.014255523681640625,0.044719696044921875,1.6187456139959977e-06,30.125,0.0005508464528247714,0.4840831756591797,0,11
0.011845588684082031,0.04462146759033203,1.5712889762653504e-06,28.171875,0.000532219186425209,None,1,11
0.0105133056640625,0.04484748840332031,1.5129830899240915e-06,28.296875,0.0004992722533643246,None,2,11
0.013677597045898438,0.04496002197265625,1.2666019983953447e-06,28.46875,0.0005317770992405713,None,3,11
0.011402130126953125,0.045044898986816406,1.378237811877625e-06,25.875,0.000547602481674403,None,4,11
0.013134956359863281,0.04479789733886719,1.6788358152552973e-06,33.5625,0.0005917156231589615,0.4840984344482422,0,12
0.02465343475341797,0.04510498046875,2.110802142851753e-06,32.53125,0.000575411831960082,None,1,12
0.010115623474121094,0.044708251953125,1.6079997067208751e-06,30.34375,0.0005339678609743714,None,2,12
0.01708507537841797,0.045063018798828125,1.6626553360765683e-06,32.40625,0.0005884196143597364,None,3,12
0.010672569274902344,0.044831275939941406,1.9360779788257787e-06,28.640625,0.0005868755979463458,None,4,12
0.010165214538574219,0.04524517059326172,2.406618932582205e-06,39.4375,0.0006748776067979634,0.48409175872802734,0,13
0.010835647583007812,0.045350074768066406,2.388425173194264e-06,34.21875,0.0006100807222537696,None,1,13
