mbytes_recived,mbytes_sent_to_worker,mse,mape%,mae,mbytes_sent_for_aggre,agent_id,round_id
0.21912193298339844,0.09066963195800781,0.001390639808960259,10.0,0.02412112057209015,0.4791383743286133,0,0
0.2195110321044922,0.09066963195800781,0.0012887610355392098,9.9375,0.023614874109625816,None,1,0
0.21989059448242188,0.09066963195800781,0.0013910930138081312,9.921875,0.024321716278791428,None,2,0
0.2179117202758789,0.09066963195800781,0.00136387103702873,10.0,0.02369014546275139,None,3,0
0.21948623657226562,0.09066963195800781,0.0014032481703907251,9.9765625,0.024167127907276154,None,4,0
0.2887086868286133,0.09021282196044922,0.004873449448496103,13.1015625,0.046057019382715225,0.48547935485839844,0,1
0.27803707122802734,0.09015846252441406,0.012572817504405975,16.640625,0.05848437920212746,None,1,1
0.32125282287597656,0.0900583267211914,0.007081133779138327,13.6328125,0.04765113443136215,None,2,1
0.20639610290527344,0.09027767181396484,0.008528366684913635,17.421875,0.062010783702135086,None,3,1
0.2813072204589844,0.09071731567382812,0.012910920195281506,17.671875,0.06193069368600845,None,4,1
0.22854137420654297,0.09056758880615234,0.010175363160669804,19.46875,0.057855475693941116,0.4854907989501953,0,2
0.28196239471435547,0.09082794189453125,0.013822934590280056,22.21875,0.06630442291498184,None,1,2
0.3142375946044922,0.09128189086914062,0.008947051130235195,16.65625,0.0501384474337101,None,2,2
0.25313282012939453,0.0907144546508789,0.010601681657135487,21.078125,0.06223626434803009,None,3,2
0.2959718704223633,0.09109115600585938,0.008284908719360828,16.328125,0.04876531660556793,None,4,2
0.23671245574951172,0.0906362533569336,0.005456745624542236,19.0,0.042443349957466125,0.4854621887207031,0,3
0.2366161346435547,0.090789794921875,0.008556265383958817,22.296875,0.049298565834760666,None,1,3
0.1105203628540039,0.09075546264648438,0.00663881516084075,22.953125,0.05082884803414345,None,2,3
0.19252586364746094,0.0906515121459961,0.006033061072230339,21.765625,0.04729709401726723,None,3,3
0.14656543731689453,0.0905447006225586,0.005352593958377838,20.46875,0.0450010821223259,None,4,3
0.14114665985107422,0.09009552001953125,0.0035360222682356834,19.859375,0.03582967817783356,0.4853687286376953,0,4
0.11454010009765625,0.09031867980957031,0.006519411224871874,25.171875,0.044795796275138855,None,1,4
0.1229248046875,0.09073734283447266,0.004211967810988426,23.046875,0.040678951889276505,None,2,4
0.1096963882446289,0.0904684066772461,0.004559602588415146,24.328125,0.04289091378450394,None,3,4
0.13170337677001953,0.09077262878417969,0.003603954566642642,21.609375,0.03880276158452034,None,4,4
0.12513256072998047,0.1801910400390625,0.0007255753735080361,11.453125,0.01840071566402912,0.48554325103759766,0,5
0.12685298919677734,0.18063735961914062,0.0005506087327376008,9.9921875,0.016054028645157814,None,1,5
0.13032817840576172,0.1814746856689453,0.0005752609577029943,10.125,0.01610444486141205,None,2,5
0.1358165740966797,0.1809368133544922,0.0004593509074766189,8.6328125,0.013730699196457863,None,3,5
0.1317768096923828,0.18154525756835938,0.00048309238627552986,9.1640625,0.014795181341469288,None,4,5
0.06020069122314453,0.09029388427734375,0.004909777082502842,29.515625,0.045608703047037125,0.4853706359863281,0,6
0.0865335464477539,0.09021186828613281,0.0037606777623295784,24.921875,0.03817731887102127,None,1,6
0.07647991180419922,0.0899343490600586,0.003482357133179903,24.671875,0.03813495859503746,None,2,6
0.06716442108154297,0.0908975601196289,0.004792548716068268,27.828125,0.043128691613674164,None,3,6
0.07262706756591797,0.09043216705322266,0.004887294955551624,28.078125,0.04321541637182236,None,4,6
0.10912799835205078,0.0913534164428711,0.006553200539201498,34.53125,0.05201759189367294,0.4853687286376953,0,7
0.03395843505859375,0.04446601867675781,0.010654659010469913,43.375,0.06545576453208923,None,1,7
0.033921241760253906,0.04457378387451172,0.009570915251970291,43.40625,0.06360477954149246,None,2,7
0.040993690490722656,0.044429779052734375,0.009496618993580341,40.0,0.06012194976210594,None,3,7
0.03328418731689453,0.044463157653808594,0.010378471575677395,43.78125,0.06539059430360794,None,4,7
0.037848472595214844,0.04449748992919922,0.010037521831691265,43.125,0.06243498623371124,0.4853553771972656,0,8
0.03236579895019531,0.04440498352050781,0.011926079168915749,48.375,0.07035315036773682,None,1,8
0.03155517578125,0.044480323791503906,0.011011394672095776,48.375,0.06881606578826904,None,2,8
0.038109779357910156,0.044551849365234375,0.009935992769896984,43.375,0.06314627081155777,None,3,8
0.050124168395996094,0.04471302032470703,0.01491598505526781,50.6875,0.0734756737947464,None,4,8
0.03584003448486328,0.04445457458496094,0.010885985568165779,46.5,0.06554415076971054,0.48528575897216797,0,9
0.025041580200195312,0.04449272155761719,0.01591169461607933,55.75,0.0789526030421257,None,1,9
0.01724529266357422,0.04462146759033203,0.018028581514954567,61.125,0.08480458706617355,None,2,9
0.03751945495605469,0.04459095001220703,0.028299551457166672,73.75,0.10527577996253967,None,3,9
0.022665977478027344,0.04446601867675781,0.018016060814261436,58.3125,0.08331678807735443,None,4,9
0.11629772186279297,0.08890914916992188,0.0004420817131176591,10.2734375,0.013661601580679417,0.4852151870727539,0,10
0.11439037322998047,0.08898544311523438,0.0005634009721688926,11.1953125,0.015497389249503613,None,1,10
0.10620594024658203,0.08924293518066406,0.0007605308201164007,13.6953125,0.018268316984176636,None,2,10
0.11751174926757812,0.08918190002441406,0.0005189647781662643,10.6015625,0.014650166966021061,None,3,10
0.12429141998291016,0.08893203735351562,0.00041344843339174986,8.984375,0.012486212886869907,None,4,10
0.021120071411132812,0.044426918029785156,0.010823438875377178,48.125,0.06265570223331451,0.48543548583984375,0,11
0.02321624755859375,0.04429817199707031,0.011775408871471882,49.21875,0.06578407436609268,None,1,11
0.02350139617919922,0.044341087341308594,0.01055199559777975,48.9375,0.06222362443804741,None,2,11
0.023275375366210938,0.044445037841796875,0.011592468246817589,49.28125,0.06481176614761353,None,3,11
0.022808074951171875,0.04436779022216797,0.012159313075244427,50.15625,0.06651833653450012,None,4,11
0.02114582061767578,0.044686317443847656,0.011043640784919262,51.75,0.06454597413539886,0.48542308807373047,0,12
0.020303726196289062,0.045093536376953125,0.011791327968239784,52.75,0.06725233793258667,None,1,12
0.020917892456054688,0.044693946838378906,0.011219781823456287,53.46875,0.0659269392490387,None,2,12
0.021941184997558594,0.044669151306152344,0.012245980091392994,54.4375,0.06868128478527069,None,3,12
0.018776893615722656,0.044617652893066406,0.013040537014603615,55.375,0.07044237107038498,None,4,12
0.02130413055419922,0.044623374938964844,0.011567802168428898,56.59375,0.06750337034463882,0.48533058166503906,0,13
0.02167510986328125,0.04454231262207031,0.01224200427532196,56.96875,0.06940653175115585,None,1,13
0.021730422973632812,0.044533729553222656,0.01267308834940195,59.8125,0.07170221954584122,None,2,13
