train_loss,train_auc,val_loss,val_auc,agent_id,round_id
3.338107997356974,tensor(0.4989),3.5434987545013428,tensor(0.4985),global,0
2.554278456035598,tensor(0.4987),2.631333827972412,tensor(0.4989),global,1
2.3654300159511523,tensor(0.4972),2.3957748413085938,tensor(0.4960),global,2
2.3100936274167445,tensor(0.4965),2.321887731552124,tensor(0.4935),global,3
2.2891172894564895,tensor(0.4950),2.292919397354126,tensor(0.4915),global,4
2.2779763094442247,tensor(0.4947),2.277631998062134,tensor(0.4906),global,5
2.2715614769264376,tensor(0.4946),2.269479751586914,tensor(0.4892),global,6
2.2667740092552275,tensor(0.4941),2.2634665966033936,tensor(0.4893),global,7
2.2627087317880363,tensor(0.4940),2.2585322856903076,tensor(0.4893),global,8
2.259280123060959,tensor(0.4942),2.254354238510132,tensor(0.4895),global,9
2.256282880951719,tensor(0.4947),2.25069260597229,tensor(0.4899),global,10
2.2546843042966898,tensor(0.4953),2.248661756515503,tensor(0.4908),global,11
2.253253272839351,tensor(0.4959),2.2468018531799316,tensor(0.4919),global,12
2.2519074737051743,tensor(0.4967),2.245063543319702,tensor(0.4929),global,13
2.2505761218347295,tensor(0.4975),2.2433552742004395,tensor(0.4938),global,14
2.249334670786649,tensor(0.4984),2.241736888885498,tensor(0.4949),global,15
2.247700560897939,tensor(0.4993),2.2396581172943115,tensor(0.4956),global,16
2.246288459079067,tensor(0.5001),2.2377796173095703,tensor(0.4965),global,17
2.245060783223607,tensor(0.5010),2.236069917678833,tensor(0.4976),global,18
2.2440136823623322,tensor(0.5019),2.234590530395508,tensor(0.4988),global,19
2.2430711009685087,tensor(0.5030),2.233238697052002,tensor(0.5003),global,20
2.2423531567905393,tensor(0.5041),2.2321457862854004,tensor(0.5019),global,21
2.2416642541317913,tensor(0.5052),2.2310922145843506,tensor(0.5036),global,22
2.2410265786323937,tensor(0.5063),2.2301247119903564,tensor(0.5053),global,23
2.2404091319032577,tensor(0.5075),2.2292141914367676,tensor(0.5068),global,24
2.2398082201504006,tensor(0.5087),2.228299856185913,tensor(0.5085),global,25
2.239125414139526,tensor(0.5100),2.2274093627929688,tensor(0.5100),global,26
2.238538651273245,tensor(0.5111),2.226672649383545,tensor(0.5115),global,27
2.237975950298499,tensor(0.5123),2.2260003089904785,tensor(0.5127),global,28
2.2374879664688176,tensor(0.5136),2.2254533767700195,tensor(0.5140),global,29
2.2370207312261448,tensor(0.5148),2.2249197959899902,tensor(0.5153),global,30
2.23657313893471,tensor(0.5159),2.2244274616241455,tensor(0.5165),global,31
2.2361550091418105,tensor(0.5171),2.2239813804626465,tensor(0.5176),global,32
2.235748116822338,tensor(0.5183),2.223602294921875,tensor(0.5186),global,33
2.235320299525749,tensor(0.5196),2.223242998123169,tensor(0.5195),global,34
2.234872716675764,tensor(0.5209),2.2228803634643555,tensor(0.5204),global,35
2.234435388763539,tensor(0.5222),2.2225074768066406,tensor(0.5213),global,36
2.234019680629321,tensor(0.5235),2.2221715450286865,tensor(0.5223),global,37
2.2336090631745478,tensor(0.5248),2.221827983856201,tensor(0.5233),global,38
2.233211204799535,tensor(0.5261),2.22151517868042,tensor(0.5243),global,39
2.2328291932684845,tensor(0.5273),2.22121262550354,tensor(0.5252),global,40
2.2324643537137923,tensor(0.5285),2.2208564281463623,tensor(0.5262),global,41
2.2321100286342155,tensor(0.5297),2.220515012741089,tensor(0.5272),global,42
2.231765383315753,tensor(0.5308),2.220182180404663,tensor(0.5282),global,43
2.2314288896104277,tensor(0.5320),2.219866991043091,tensor(0.5291),global,44
2.2310833289595045,tensor(0.5331),2.2195675373077393,tensor(0.5300),global,45
2.2307541232919648,tensor(0.5341),2.2193071842193604,tensor(0.5308),global,46
2.230440219725041,tensor(0.5351),2.219069242477417,tensor(0.5314),global,47
2.230146281954219,tensor(0.5361),2.2188243865966797,tensor(0.5321),global,48
2.2298501098891665,tensor(0.5370),2.2185914516448975,tensor(0.5328),global,49
2.2296344951064286,tensor(0.5377),2.218421697616577,tensor(0.5334),global,50
