round_id,client_id,codec_class_used,wmape,wmspe_sqrt,mse,mape,mspe_sqrt,w_mean_of_vec,model_size,compressed_bytes,basic_raw_bytes,compression_ratio,entropy_real_rate,global_eval_loss,global_eval_acc,global_eval_f1,global_eval_auc,train_loss,train_acc,train_f1,train_auc,test_loss,test_acc,test_f1,test_auc,bins_per_plane,prior_rate,marginal_rate,phase,round_type,num_planes,encoder_decoder_size,meta_data_size
0,0,cancer,25.09503779827461,70.1431925216196,2.627707218483266e-10,691.7079925537109,7.59635716676712,2.311016032763291e-05,11181642,3.470315933227539,18.937652587890625,5.457039921514528,2.6034745165334394,2.6011987747996588,0.08147664413030117,0.05909735777147912,0.5033665199899836,2.1414201259613037,0.2419464886188507,0.1538492888212204,0.6332952976226807,2.2295680046081543,0.2211124747991562,0.12797671556472778,0.5723058581352234,8,3.049377143383026,2.4752607941627502,warmup,P,3,0.1964569091796875,0.00023746490478515625
0,1,cancer,25.04068801776707,71.46571735446884,2.73233324854516e-10,675.458288192749,7.588466256856918,2.3129650799091905e-05,11181642,3.4674854278564453,18.937406539916992,5.461423539888919,2.6013510359212,2.6011987747996588,0.08147664413030117,0.05909735777147912,0.5033665199899836,2.1328299045562744,0.24767950177192688,0.1608891487121582,0.6375023126602173,2.2042524814605713,0.22579900920391083,0.13405732810497284,0.5903604626655579,8,1.7037938237190247,2.4733155369758606,warmup,P,3,0.1964569091796875,0.00023746490478515625
0,2,cancer,25.17310520580075,71.78686668397435,2.7369492783257954e-10,716.6162490844727,7.573661208152771,2.3045618945616297e-05,11181642,3.4751739501953125,18.935654640197754,5.448836493244756,2.607119061762128,2.6011987747996588,0.08147664413030117,0.05909735777147912,0.5033665199899836,2.1439926624298096,0.2399153709411621,0.14824645221233368,0.6282576322555542,2.2303688526153564,0.21523509919643402,0.12670210003852844,0.5781338810920715,8,1.4481624066829681,2.4781110882759094,warmup,P,3,0.1964569091796875,0.00023746490478515625
0,3,cancer,25.238933071220032,73.00514182818989,2.901476003902559e-10,719.7242259979248,7.633449137210846,2.3332218916038983e-05,11181642,3.473970413208008,18.943551063537598,5.4529972366818,2.6062161532268697,2.6011987747996588,0.08147664413030117,0.05909735777147912,0.5033665199899836,2.1258041858673096,0.24974404275417328,0.1532045602798462,0.6367405652999878,2.22259783744812,0.22145821154117584,0.12428513169288635,0.576766848564148,8,1.3810535967350006,2.478901445865631,warmup,P,3,0.1964569091796875,0.00023746490478515625
0,4,cancer,25.28887358838936,73.23101990381154,2.8702845655814713e-10,717.8766250610352,7.639194279909134,2.3134887669584714e-05,11181642,3.4735116958618164,18.936434745788574,5.451668629286201,2.6058720177233363,2.6011987747996588,0.08147664413030117,0.05909735777147912,0.5033665199899836,2.1538119316101074,0.23541055619716644,0.15191607177257538,0.6234123110771179,2.2264249324798584,0.2192685902118683,0.12733978033065796,0.5772643685340881,8,1.3264574706554413,2.4761983156204224,warmup,P,3,0.1964569091796875,0.00023746490478515625
1,0,cancer,22.50201241089467,47.0209967720445,1.039828431692591e-10,1000.1965522766113,6.196868419647217,2.1686477339244448e-05,11181642,3.8251819610595703,18.91197967529297,4.944073214769207,2.869699459167088,2.2266636251597296,0.21300706822372464,0.12150101401677531,0.566602574998142,2.040665626525879,0.2955228090286255,0.1964728832244873,0.6868084073066711,2.107451915740967,0.2756991386413574,0.16481666266918182,0.6386227607727051,8,1.7340553402900696,2.844397008419037,warmup,T,3,0.1964569091796875,0.00023746490478515625
1,1,cancer,20.758614955186705,55.00648494156959,1.370854818549816e-10,355.9199333190918,6.468994170427322,2.1285401089699008e-05,11181642,3.9596405029296875,18.894535064697266,4.771780430753105,2.9705719428327253,2.2266636251597296,0.21300706822372464,0.12150101401677531,0.566602574998142,2.0118911266326904,0.3033715486526489,0.20533819496631622,0.7023351192474365,2.090285539627075,0.2831130921840668,0.17682737112045288,0.6479489207267761,8,1.8479443192481995,3.0952820777893066,warmup,T,3,0.1964569091796875,0.00023746490478515625
1,2,cancer,22.213819501309537,50.519529386000784,1.1447555403609755e-10,710.3937149047852,6.444194912910461,2.11785918509122e-05,11181642,3.165501594543457,18.891057014465332,5.967792607348184,2.3747989785400034,2.2266636251597296,0.21300706822372464,0.12150101401677531,0.566602574998142,2.0298259258270264,0.2911064028739929,0.19361861050128937,0.6892543435096741,2.1118433475494385,0.2715888023376465,0.16703079640865326,0.6370940804481506,8,1.5363012794405222,2.438510812819004,warmup,T,3,0.1964569091796875,0.00023746490478515625
1,3,cancer,21.842147523841138,58.073543760285006,1.5751920601214664e-10,121.64731025695801,7.037742435932159,2.161167503800243e-05,11181642,3.5491228103637695,18.904385566711426,5.326495186784987,2.6625964236737323,2.2266636251597296,0.21300706822372464,0.12150101401677531,0.566602574998142,2.0142135620117188,0.3014128804206848,0.2030249536037445,0.6989390850067139,2.1058948040008545,0.2705132067203522,0.16424277424812317,0.640682578086853,8,1.5990727245807648,2.7635419964790344,warmup,T,3,0.1964569091796875,0.00023746490478515625
1,4,cancer,23.363026505540553,62.892567028495726,1.810151750714084e-10,178.83241176605225,7.9474374651908875,2.1392334019765258e-05,11181642,3.6473169326782227,18.896240234375,5.180860501886658,2.736262885182695,2.2266636251597296,0.21300706822372464,0.12150101401677531,0.566602574998142,2.0172598361968994,0.3034605085849762,0.20757241547107697,0.696804404258728,2.0984303951263428,0.2762753665447235,0.1707281768321991,0.6442925930023193,8,1.6491469740867615,2.661501944065094,warmup,T,3,0.1964569091796875,0.00023746490478515625
2,0,cancer,23.4987935828239,57.719222910167666,1.6597209717694739e-10,370.0300931930542,7.6636433601379395,2.2320147763821296e-05,11181642,3.5561599731445312,18.932944297790527,5.323985546423292,2.667875791408811,2.0972689154255075,0.27473878303626303,0.16142099736422905,0.6432411541788599,1.879315733909607,0.3673218786716461,0.2694447636604309,0.7558535933494568,1.9519362449645996,0.33946681022644043,0.22234642505645752,0.7080044150352478,4,1.1579268872737885,2.6224209666252136,warmup,T,3,0.1953125,0.00023746490478515625
2,1,cancer,25.065746020028556,61.18925062913741,1.8908240251303e-10,448.65331649780273,8.229627460241318,2.2472449927590787e-05,11181642,2.8906211853027344,18.935542106628418,6.5506826708755685,2.1685802496627953,2.0972689154255075,0.27473878303626303,0.16142099736422905,0.6432411541788599,1.868106484413147,0.36861860752105713,0.2643241882324219,0.7604876160621643,1.943118691444397,0.3422326445579529,0.2269987016916275,0.7146231532096863,4,0.9538799300789833,1.8761915862560272,warmup,T,3,0.1953125,0.00023746490478515625
2,2,cancer,26.11711443801991,64.60024549786534,2.0995566396564413e-10,447.3057746887207,8.948202431201935,2.2430018361774273e-05,11181642,2.8709678649902344,18.933164596557617,6.594697498163052,2.153836082392908,2.0972689154255075,0.27473878303626303,0.16142099736422905,0.6432411541788599,1.8735662698745728,0.3613405227661133,0.25986161828041077,0.7561511397361755,1.9485950469970703,0.33804547786712646,0.22254349291324615,0.7105888724327087,4,0.9527221024036407,1.9025938957929611,warmup,T,3,0.1953125,0.00023746490478515625
2,3,cancer,28.32898475574421,69.23436306708409,2.3874396903877937e-10,532.4863433837891,9.495866298675537,2.231744656455703e-05,11181642,2.5883846282958984,18.929038047790527,7.313070028642822,1.941838595798363,2.0972689154255075,0.27473878303626303,0.16142099736422905,0.6432411541788599,1.8470478057861328,0.38038358092308044,0.2786214053630829,0.7693844437599182,1.9412676095962524,0.34192532300949097,0.22398413717746735,0.7141905426979065,4,0.8155540078878403,1.5800689309835434,warmup,T,3,0.1953125,0.00023746490478515625
2,4,cancer,23.835978078192127,62.1932818600318,1.8889836916891056e-10,227.7026653289795,7.774819433689117,2.2098898625699803e-05,11181642,3.2071590423583984,18.92298698425293,5.900233426009902,2.406050918103084,2.0972689154255075,0.27473878303626303,0.16142099736422905,0.6432411541788599,1.8664854764938354,0.36905330419540405,0.26732638478279114,0.7610680460929871,1.9483672380447388,0.33608636260032654,0.21476052701473236,0.7111185789108276,4,0.9893883764743805,2.2213035821914673,warmup,T,3,0.1953125,0.00023746490478515625
3,0,cancer,21.85957463889682,55.64513618305635,1.608717187240316e-10,583.4767818450928,6.753567606210709,2.2793585230829194e-05,11181642,3.6396255493164062,18.94289493560791,5.20462742085261,2.7304927129664858,1.9557572421700806,0.33869852489244007,0.21845269662855854,0.7117909572630399,1.7026292085647583,0.4377559423446655,0.34452947974205017,0.8152166604995728,1.7817562818527222,0.39870160818099976,0.28162384033203125,0.7711989879608154,4,1.0426616370677948,2.7462342977523804,warmup,T,3,0.1956939697265625,0.00023746490478515625
3,1,cancer,23.87825878729206,58.54142315595322,1.7952050956893117e-10,259.31572914123535,8.34968388080597,2.2887257728143595e-05,11181642,2.8723535537719727,18.947123527526855,6.596375819628996,2.154875643487781,1.9557572421700806,0.33869852489244007,0.21845269662855854,0.7117909572630399,1.7005395889282227,0.4418509304523468,0.3465249538421631,0.8134457468986511,1.785203218460083,0.397395521402359,0.2817929983139038,0.7697805166244507,4,0.7923592925071716,1.772789865732193,warmup,T,3,0.1956939697265625,0.00023746490478515625
3,2,cancer,24.350809013490572,65.12831349127815,2.1836267516395225e-10,225.9974241256714,8.270134776830673,2.268920979986433e-05,11181642,3.0924863815307617,18.937554359436035,6.123730882870392,2.3200220504287294,1.9557572421700806,0.33869852489244007,0.21845269662855854,0.7117909572630399,1.7006795406341553,0.4310286045074463,0.33413267135620117,0.8140203952789307,1.7830692529678345,0.4001613259315491,0.28135645389556885,0.7708583474159241,4,0.8655262738466263,2.1639755368232727,warmup,T,3,0.1956939697265625,0.00023746490478515625
3,3,cancer,23.319010886997372,60.42451394812883,1.9041981880185688e-10,284.1803789138794,7.708343118429184,2.283720277773682e-05,11181642,3.1035661697387695,18.94593906402588,6.1045706867015435,2.328334246437151,1.9557572421700806,0.33869852489244007,0.21845269662855854,0.7117909572630399,1.692273497581482,0.441403329372406,0.3452252745628357,0.8171595335006714,1.7791286706924438,0.39770281314849854,0.2799510657787323,0.7736331820487976,4,0.8739156723022461,2.0006088316440582,warmup,T,3,0.1956939697265625,0.00023746490478515625
3,4,cancer,29.978117655320073,75.49183570716798,2.907794838247213e-10,121.2112545967102,10.46527624130249,2.2588214051211253e-05,11181642,2.2066469192504883,18.935980796813965,8.581336974039226,1.6554541810585601,1.9557572421700806,0.33869852489244007,0.21845269662855854,0.7117909572630399,1.68769109249115,0.441403329372406,0.34379687905311584,0.8204629421234131,1.7781956195831299,0.4006607234477997,0.2835521399974823,0.772989809513092,4,0.5782920643687248,1.3264466375112534,warmup,T,3,0.1956939697265625,0.00023746490478515625
4,0,cancer,30.311863448576474,66.33907411392775,2.241359042809421e-10,1189.1481399536133,9.028112888336182,2.2567648557014763e-05,11181642,2.8442745208740234,18.93290615081787,6.656497469519903,2.13381040101266,1.7964550307834521,0.39954671173939765,0.2817847792329362,0.7716541303167688,1.5422714948654175,0.4999317526817322,0.412788987159729,0.8530162572860718,1.6299223899841309,0.4522126615047455,0.34326574206352234,0.8151507377624512,4,0.6765242367982864,1.8974021077156067,warmup,T,3,0.196075439453125,0.00023746490478515625
4,1,cancer,24.135734289212387,63.581837791066874,2.06842973304866e-10,169.06243562698364,8.144382387399673,2.2619724404648878e-05,11181642,3.1280012130737305,18.934301376342773,6.053163054159107,2.346665722261543,1.7964550307834521,0.39954671173939765,0.2817847792329362,0.7716541303167688,1.5199884176254272,0.5040950179100037,0.41917335987091064,0.8596094846725464,1.612663984298706,0.45789796113967896,0.3480767607688904,0.8200384974479675,4,0.7780177295207977,2.1965157985687256,warmup,T,3,0.196075439453125,0.00023746490478515625
4,2,cancer,19.946684162775288,52.54134653535615,1.395937809789416e-10,169.43576335906982,6.964092701673508,2.2487016394734383e-05,11181642,3.5810203552246094,18.931092262268066,5.286507862109225,2.6865263616917803,1.7964550307834521,0.39954671173939765,0.2817847792329362,0.7716541303167688,1.5286614894866943,0.498191237449646,0.40845707058906555,0.8565921783447266,1.62024986743927,0.4570912718772888,0.3433949053287506,0.8183949589729309,4,0.9776651561260223,2.4696953296661377,warmup,T,3,0.196075439453125,0.00023746490478515625
4,3,cancer,24.65441749405863,62.58242904632012,2.0153043123194436e-10,418.4985160827637,7.982577383518219,2.2683909264742397e-05,11181642,3.2211732864379883,18.93557834625244,5.878472426794408,2.4165645796923205,1.7964550307834521,0.39954671173939765,0.2817847792329362,0.7716541303167688,1.5345512628555298,0.4971674382686615,0.40414106845855713,0.8536953330039978,1.6175529956817627,0.45739859342575073,0.3450247347354889,0.8192499876022339,4,0.8396870195865631,2.2117767333984375,warmup,T,3,0.196075439453125,0.00023746490478515625
4,4,cancer,26.09131049388752,60.44014858402515,1.853896064440974e-10,436.9654655456543,8.662285655736923,2.252771628263872e-05,11181642,2.549531936645508,18.930912971496582,7.42525037611591,1.9126908194699848,1.7964550307834521,0.39954671173939765,0.2817847792329362,0.7716541303167688,1.5523731708526611,0.4910927712917328,0.40253716707229614,0.8499742150306702,1.6332905292510986,0.45198217034339905,0.3433536887168884,0.8154035806655884,4,0.6732131168246269,1.5698795169591904,warmup,T,3,0.196075439453125,0.00023746490478515625
