round_id,client_id,codec_class_used,wmape,wmspe_sqrt,mse,mape,mspe_sqrt,w_mean_of_vec,model_size,compressed_bytes,basic_raw_bytes,compression_ratio,entropy_real_rate,global_eval_loss,global_eval_acc,global_eval_f1,global_eval_auc,train_loss,train_acc,train_f1,train_auc,test_loss,test_acc,test_f1,test_auc
0,0,identity,0.0,0.0,0.0,0.0,0.0,2.3031741875456646e-05,11181642,18.929532051086426,18.929532051086426,1.0,14.201172242860217,2.6011929083031675,0.08155347264904733,0.059210357968395876,0.5033687877242354,2.139949321746826,0.24570024013519287,0.1501723825931549,0.6274629831314087,2.2266037464141846,0.21542716026306152,0.12419792264699936,0.5772472023963928
0,1,identity,0.0,0.0,0.0,0.0,0.0,2.30177647608798e-05,11181642,18.935559272766113,18.935559272766113,1.0,14.20569394012078,2.6011929083031675,0.08155347264904733,0.059210357968395876,0.5033687877242354,2.142791509628296,0.23860223591327667,0.15776880085468292,0.6351490020751953,2.2237679958343506,0.22042101621627808,0.1295432597398758,0.5824370980262756
0,2,identity,0.0,0.0,0.0,0.0,0.0,2.3079061065800488e-05,11181642,18.934714317321777,18.934714317321777,1.0,14.20506004395419,2.6011929083031675,0.08155347264904733,0.059210357968395876,0.5033687877242354,2.131615161895752,0.2455122470855713,0.1521417647600174,0.6354588866233826,2.2198896408081055,0.2231484353542328,0.12889593839645386,0.5796085000038147
0,3,identity,0.0,0.0,0.0,0.0,0.0,2.3314500140259042e-05,11181642,18.94612693786621,18.94612693786621,1.0,14.21362193495374,2.6011929083031675,0.08155347264904733,0.059210357968395876,0.5033687877242354,2.1477150917053223,0.2328168749809265,0.15440116822719574,0.6310220956802368,2.2168374061584473,0.21719422936439514,0.12900257110595703,0.5818654298782349
0,4,identity,0.0,0.0,0.0,0.0,0.0,2.3006343326414935e-05,11181642,18.934781074523926,18.934781074523926,1.0,14.205110126044099,2.6011929083031675,0.08155347264904733,0.059210357968395876,0.5033687877242354,2.129307746887207,0.24783290922641754,0.160190150141716,0.6367195844650269,2.216965913772583,0.22134296596050262,0.12990835309028625,0.5816847085952759
1,0,identity,0.0,0.0,0.0,0.0,0.0,2.1491081497515552e-05,11181642,18.90360450744629,18.90360450744629,1.0,14.181721074597094,2.215582881885287,0.21784726490473263,0.12296835695733302,0.5723652799173037,2.0102200508117676,0.3054873049259186,0.19669224321842194,0.6976966857910156,2.0855214595794678,0.2837277054786682,0.17121297121047974,0.6496703028678894
1,1,identity,0.0,0.0,0.0,0.0,0.0,2.158366987714544e-05,11181642,18.907546997070312,18.907546997070312,1.0,14.18467877973557,2.215582881885287,0.21784726490473263,0.12296835695733302,0.5723652799173037,2.0071096420288086,0.3074665665626526,0.21328940987586975,0.7046558260917664,2.0944435596466064,0.2812691926956177,0.17793813347816467,0.6450820565223694
1,2,identity,0.0,0.0,0.0,0.0,0.0,2.127962034137454e-05,11181642,18.893752098083496,18.893752098083496,1.0,14.174329673584612,2.215582881885287,0.21784726490473263,0.12296835695733302,0.5723652799173037,2.011531352996826,0.3023684322834015,0.19751502573490143,0.6983879208564758,2.0990817546844482,0.27320221066474915,0.16103288531303406,0.6429792642593384
1,3,identity,0.0,0.0,0.0,0.0,0.0,2.1532814571401104e-05,11181642,18.906463623046875,18.906463623046875,1.0,14.183866018962153,2.215582881885287,0.21784726490473263,0.12296835695733302,0.5723652799173037,2.013767719268799,0.3014128804206848,0.20763660967350006,0.7039687037467957,2.0924506187438965,0.28165334463119507,0.17632842063903809,0.6465873122215271
1,4,identity,0.0,0.0,0.0,0.0,0.0,2.129833410435822e-05,11181642,18.897396087646484,18.897396087646484,1.0,14.177063440235344,2.215582881885287,0.21784726490473263,0.12296835695733302,0.5723652799173037,2.0119740962982178,0.3077605664730072,0.2030557245016098,0.6987925171852112,2.0922837257385254,0.2804240882396698,0.1715385615825653,0.6469985246658325
2,0,identity,0.0,0.0,0.0,0.0,0.0,2.2320742573356256e-05,11181642,18.930164337158203,18.930164337158203,1.0,14.20164659179752,2.0894719095924694,0.279079594345421,0.16365603627951744,0.6468563157958097,1.848864197731018,0.37674036622047424,0.2631393074989319,0.7650632262229919,1.9250901937484741,0.3474569618701935,0.22553645074367523,0.7204310894012451
2,1,identity,0.0,0.0,0.0,0.0,0.0,2.2274138245848008e-05,11181642,18.92678451538086,18.92678451538086,1.0,14.199111007131153,2.0894719095924694,0.279079594345421,0.16365603627951744,0.6468563157958097,1.8502229452133179,0.37517061829566956,0.2780935764312744,0.7705168128013611,1.9333876371383667,0.3437691926956177,0.22843371331691742,0.7171415090560913
2,2,identity,0.0,0.0,0.0,0.0,0.0,2.2210748284123838e-05,11181642,18.925065994262695,18.925065994262695,1.0,14.19782175104515,2.0894719095924694,0.279079594345421,0.16365603627951744,0.6468563157958097,1.8452860116958618,0.37690261006355286,0.2704682946205139,0.7678458094596863,1.9395331144332886,0.3432314097881317,0.22253982722759247,0.7144219279289246
2,3,identity,0.0,0.0,0.0,0.0,0.0,2.2089696358307265e-05,11181642,18.92330551147461,18.92330551147461,1.0,14.196501014788346,2.0894719095924694,0.279079594345421,0.16365603627951744,0.6468563157958097,1.861525058746338,0.36946284770965576,0.27081379294395447,0.7666233777999878,1.941390037536621,0.3422326445579529,0.2244196981191635,0.7130526304244995
2,4,identity,0.0,0.0,0.0,0.0,0.0,2.238900378870312e-05,11181642,18.931157112121582,18.931157112121582,1.0,14.202391384020343,2.0894719095924694,0.279079594345421,0.16365603627951744,0.6468563157958097,1.852016568183899,0.37546923756599426,0.2733745574951172,0.7643364071846008,1.9294655323028564,0.3423478901386261,0.22300873696804047,0.719417154788971
3,0,identity,0.0,0.0,0.0,0.0,0.0,2.2745543901692145e-05,11181642,18.941577911376953,18.941577911376953,1.0,14.210209198255498,1.9373270012552781,0.34561309157959436,0.2227795672187208,0.7195934817096935,1.6923633813858032,0.4363909363746643,0.33453285694122314,0.811839759349823,1.7671846151351929,0.40342655777931213,0.2867525517940521,0.774761438369751
3,1,identity,0.0,0.0,0.0,0.0,0.0,2.2812306269770488e-05,11181642,18.938642501831055,18.938642501831055,1.0,14.208007017216255,1.9373270012552781,0.34561309157959436,0.2227795672187208,0.7195934817096935,1.6721996068954468,0.4482664465904236,0.35890263319015503,0.8238229155540466,1.7609798908233643,0.40807467699050903,0.29603293538093567,0.7767612338066101
3,2,identity,0.0,0.0,0.0,0.0,0.0,2.2641252144239843e-05,11181642,18.936500549316406,18.936500549316406,1.0,14.20640009758853,1.9373270012552781,0.34561309157959436,0.2227795672187208,0.7195934817096935,1.683671236038208,0.4491161108016968,0.34874704480171204,0.8144014477729797,1.7708709239959717,0.4039643406867981,0.28730809688568115,0.773769199848175
3,3,identity,0.0,0.0,0.0,0.0,0.0,2.2625807105214335e-05,11181642,18.937352180480957,18.937352180480957,1.0,14.207039001964112,1.9373270012552781,0.34561309157959436,0.2227795672187208,0.7195934817096935,1.6879068613052368,0.44222238659858704,0.3498312830924988,0.8197136521339417,1.7642992734909058,0.4085356593132019,0.29076558351516724,0.7762906551361084
