config_key,trial_number,bins_per_plane,num_planes,model_num_planes,data_size,noise_power,side_info_count,marginal_loss,training_prior_rate,inference_prior_rate,prior_rate,marginal_rate,mse,mape,mspe_sqrt,w_mean_of_vec,wmape,wmspe_sqrt,inference_wz_gap_db,run_label
shared_source_normalization|WZQuantizerCancer|2b_3p_ld120|stage1,0,2,1,3,2000000,0.01,1,False,0.41179659962654114,0.411651611328125,0.4078834354877472,0.9993528723716736,0.00816289335489273,127.60751247406006,1175.5199432373047,0.8017445802688599,8.833944797733885,11.269016856205885,1.596830881900636,shared_source_normalization
shared_source_normalization|WZQuantizerCancer|2b_3p_ld120|stage2,0,2,2,3,2000000,0.01,1,False,0.8573399782180786,0.8562825918197632,0.8392010927200317,1.998178243637085,0.004968749824911356,131.7346453666687,1156.2604904174805,0.8017445802688599,6.9342499636831105,8.791997026505548,2.1178062050218274,shared_source_normalization
shared_source_normalization|WZQuantizerCancer|2b_3p_ld120|stage3,0,2,3,3,2000000,0.01,1,False,1.485347330570221,1.4855955839157104,1.4635079503059387,2.9963825941085815,0.0025074435397982597,81.2772810459137,647.5481986999512,0.8017445802688599,4.823720626996778,6.2456774023014106,2.9364882714630403,shared_source_normalization
shared_source_normalization|WZQuantizerCancer|2b_3p_ld120|stage1,1,2,1,3,2000000,0.01,1,False,0.17982903122901917,0.17946256697177887,0.17785987257957458,0.9822646379470825,0.008798596449196339,109.35620069503784,1149.7282028198242,0.8012599349021912,9.295411351008722,11.706667195169686,0.5246063059846814,shared_source_normalization
shared_source_normalization|WZQuantizerCancer|2b_3p_ld120|stage2,1,2,2,3,2000000,0.01,1,False,0.5161069929599762,0.5166817158460617,0.5081537067890167,1.9826035499572754,0.0066277929581701756,77.16941833496094,784.5360279083252,0.8012599349021912,8.047381813358728,10.160405460459646,1.324423226441046,shared_source_normalization
shared_source_normalization|WZQuantizerCancer|2b_3p_ld120|stage3,1,2,3,3,2000000,0.01,1,False,1.0700050294399261,1.0711136907339096,1.0530770123004913,2.9826390743255615,0.003892680397257209,77.76997685432434,774.0487575531006,0.8012599349021912,6.102024702834081,7.786655243769125,2.35123447432945,shared_source_normalization
shared_source_normalization|WZQuantizerCancer|4b_2p_ld160|stage1,0,4,1,2,2000000,0.01,1,False,0.5130414962768555,0.5126455426216125,0.506607174873352,1.9519593715667725,0.006545321084558964,77.4968147277832,679.521894454956,0.8017445802688599,8.015560244329027,10.090889376993893,1.2457432692457968,shared_source_normalization
shared_source_normalization|WZQuantizerCancer|4b_2p_ld160|stage2,0,4,2,2,2000000,0.01,1,False,1.4311206340789795,1.4320789575576782,1.4105274677276611,3.825876235961914,0.0027773852925747633,71.36110067367554,585.3074550628662,0.8017445802688599,5.002897266248964,6.573278497086549,3.058335761684266,shared_source_normalization
