round_id,client_id,codec_class_used,wmape,wmspe_sqrt,mse,mape,mspe_sqrt,w_mean_of_vec,model_size,compressed_bytes,basic_raw_bytes,compression_ratio,entropy_real_rate,global_eval_loss,global_eval_acc,global_eval_f1,global_eval_auc,train_loss,train_acc,train_f1,train_auc,test_loss,test_acc,test_f1,test_auc,bins_per_plane,prior_rate,marginal_rate
0,0,3-split,105.31039371517079,270.4347466629564,3.876418741555199e-09,2075.0856399536133,27.155256271362305,2.302251959918067e-05,11181642,2.2185306549072266,18.93535804748535,8.535089657472946,1.6643695085211994,2.601193032861122,0.08155347264904733,0.059210357968395876,0.5033687578336926,2.149414539337158,0.23361998796463013,0.15019719302654266,0.6300184726715088,2.2284958362579346,0.21527351438999176,0.12950852513313293,0.5763936042785645,3,1.5540732145309448,1.5531219244003296
0,1,3-split,105.45934044748205,276.04394856010595,4.012073340220468e-09,2063.5398864746094,27.08512842655182,2.2945958335185423e-05,11181642,2.2183570861816406,18.928955078125,8.532871103590706,1.6642392950874298,2.601193032861122,0.08155347264904733,0.059210357968395876,0.5033687578336926,2.1561760902404785,0.23402948677539825,0.1541523039340973,0.6253159642219543,2.2399237155914307,0.21196988224983215,0.13153356313705444,0.5686215758323669,3,0.49208134412765503,1.553391933441162
0,2,3-split,105.17159870878139,268.1541703601209,3.828569017372274e-09,2073.9789962768555,27.19089984893799,2.307457361894194e-05,11181642,2.2184667587280273,18.9376277923584,8.536358598952555,1.66432157280657,2.601193032861122,0.08155347264904733,0.059210357968395876,0.5033687578336926,2.137012481689453,0.24496620893478394,0.1586616337299347,0.6316033601760864,2.2237021923065186,0.2210356444120407,0.12968386709690094,0.5787059664726257,3,0.4236328601837158,1.553757667541504
0,3,3-split,105.47481904840869,277.27681224331144,4.0023833136615394e-09,2043.637466430664,26.964205503463745,2.281632987433113e-05,11181642,2.218724250793457,18.926631927490234,8.530411979191069,1.664514746581942,2.601193032861122,0.08155347264904733,0.059210357968395876,0.5033687578336926,2.136491298675537,0.24749164283275604,0.1499197632074356,0.6291966438293457,2.2240428924560547,0.22414720058441162,0.12680833041667938,0.5758103132247925,3,0.4066207706928253,1.5533913373947144
0,4,3-split,105.2691017622371,267.3160986902145,3.928878111736367e-09,2093.6023712158203,27.5219589471817,2.3448181309504434e-05,11181642,2.218008041381836,18.947689056396484,8.542660217134257,1.6639774373030365,2.601193032861122,0.08155347264904733,0.059210357968395876,0.5033687578336926,2.1282012462615967,0.24564875662326813,0.15816859900951385,0.6392160058021545,2.226680278778076,0.21254609525203705,0.12266265600919724,0.5764998197555542,3,0.395550400018692,1.5536149740219116
1,0,3-split,105.32678322129507,270.9760903605776,3.876643450695383e-09,2059.3996047973633,27.106618881225586,2.297719220223371e-05,11181642,2.2180938720703125,18.933512687683105,8.535938413648402,1.664041828561494,2.551540700071929,0.08685464044253227,0.06346093005367187,0.5184349741079838,2.1040544509887695,0.25859951972961426,0.17030608654022217,0.6552879810333252,2.1875340938568115,0.2372080534696579,0.142087921500206,0.5981252789497375,3,0.34349703788757324,1.553113341331482
1,1,3-split,105.25834924787611,273.0772806879079,3.819852878450547e-09,2027.1852493286133,26.80729627609253,2.2632772015640512e-05,11181642,2.2172441482543945,18.922521591186523,8.53425257930389,1.6634043551027657,2.551540700071929,0.08685464044253227,0.06346093005367187,0.5184349741079838,2.1092498302459717,0.2578487694263458,0.17019721865653992,0.6493834257125854,2.1832776069641113,0.2435079962015152,0.14424683153629303,0.5990427732467651,3,0.35643869638442993,1.553005337715149
1,2,3-split,105.12617465287826,271.39605907585633,3.7301730593242155e-09,2006.403923034668,26.697131991386414,2.2504063963424414e-05,11181642,2.218031883239746,18.91670799255371,8.528600574002214,1.663995323763719,2.551540700071929,0.08685464044253227,0.06346093005367187,0.5184349741079838,2.1033482551574707,0.2629854679107666,0.16881722211837769,0.651678740978241,2.1856229305267334,0.23667025566101074,0.13998530805110931,0.5987958908081055,3,0.34210458397865295,1.5532537698745728
1,3,3-split,105.23181308110334,271.4976378988088,3.682566029894474e-09,2015.0754928588867,26.575064659118652,2.2351630832417868e-05,11181642,2.218120574951172,18.91511631011963,8.527541975726912,1.6640618613974585,2.551540700071929,0.08685464044253227,0.06346093005367187,0.5184349741079838,2.102773666381836,0.2661251723766327,0.16979840397834778,0.6504951119422913,2.2015087604522705,0.2275276631116867,0.13468816876411438,0.5901980400085449,3,0.32815834879875183,1.5529742240905762
1,4,3-split,105.19610303661975,269.7274548409325,3.7680281117502545e-09,2031.3453674316406,26.911482214927673,2.2757885744795203e-05,11181642,2.2180185317993164,18.92531681060791,8.532533222459229,1.663985307345737,2.551540700071929,0.08685464044253227,0.06346093005367187,0.5184349741079838,2.105391263961792,0.25643301010131836,0.1636202037334442,0.6505599021911621,2.180795192718506,0.23494161665439606,0.135382279753685,0.6020283102989197,3,0.35490965843200684,1.5531129837036133
