round_id,client_id,codec_class_used,wmape,wmspe_sqrt,mse,mape,mspe_sqrt,w_mean_of_vec,model_size,compressed_bytes,basic_raw_bytes,compression_ratio,entropy_real_rate,global_eval_loss,global_eval_acc,global_eval_f1,global_eval_auc,train_loss,train_acc,train_f1,train_auc,test_loss,test_acc,test_f1,test_auc,bins_per_plane,prior_rate,marginal_rate,phase,round_type,num_planes,encoder_decoder_size,meta_data_size
0,0,cancer,25.05993449598853,72.28694296698605,2.7974583760581595e-10,682.2858333587646,7.573085278272629,2.313779441465158e-05,11181642,3.4703264236450195,18.93952465057373,5.457562874065549,2.6034823865761396,2.6011948589906417,0.08147664413030117,0.059096624689612756,0.5033675352483207,2.136199712753296,0.24508599936962128,0.15598635375499725,0.6319884657859802,2.2166242599487305,0.22357098758220673,0.1291860044002533,0.581924319267273,8,3.0252126455307007,2.474376916885376,warmup,P,3,0.1964569091796875,0.00023746490478515625
0,1,cancer,24.966236379198424,70.66956744217381,2.629005346754809e-10,668.5837268829346,7.554801553487778,2.2943691874388605e-05,11181642,3.4774656295776367,18.933056831359863,5.444498622883419,2.60883830836294,2.6011948589906417,0.08147664413030117,0.059096624689612756,0.5033675352483207,2.1477506160736084,0.23921649158000946,0.15544727444648743,0.6293059587478638,2.227128505706787,0.21623386442661285,0.13162393867969513,0.5765630006790161,8,1.667090505361557,2.4797860980033875,warmup,P,3,0.1964569091796875,0.00023746490478515625
0,2,cancer,25.266010791098324,72.79638557858624,2.838505541724601e-10,716.9131755828857,7.603162527084351,2.3143820726545528e-05,11181642,3.469348907470703,18.936443328857422,5.458212429450591,2.6027490416881527,2.6011948589906417,0.08147664413030117,0.059096624689612756,0.5033675352483207,2.1423568725585938,0.24046140909194946,0.15610714256763458,0.6312644481658936,2.2145352363586426,0.21988321840763092,0.12826189398765564,0.5809960961341858,8,1.4631358981132507,2.474543273448944,warmup,P,3,0.1964569091796875,0.00023746490478515625
0,3,cancer,25.228012601732736,71.28225031630598,2.7373775468575445e-10,725.0011920928955,7.602094113826752,2.321057763765566e-05,11181642,3.4705429077148438,18.93820095062256,5.456841034445614,2.6036447956391378,2.6011948589906417,0.08147664413030117,0.059096624689612756,0.5033675352483207,2.1276748180389404,0.24749164283275604,0.15745100378990173,0.6389212012290955,2.212134599685669,0.22222648561000824,0.131973534822464,0.5866722464561462,8,1.3724588453769684,2.473459005355835,warmup,P,3,0.1964569091796875,0.00023746490478515625
0,4,cancer,25.037559927348113,71.54681124915696,2.8014029984646527e-10,693.6703681945801,7.615788280963898,2.3393624360323884e-05,11181642,3.4797353744506836,18.94518280029297,5.444432050607781,2.6105410994199243,2.6011948589906417,0.08147664413030117,0.059096624689612756,0.5033675352483207,2.143666982650757,0.24244078993797302,0.15657536685466766,0.6292172074317932,2.236985445022583,0.21223878860473633,0.12580357491970062,0.5712310075759888,8,1.3484450578689575,2.480683922767639,warmup,P,3,0.1964569091796875,0.00023746490478515625
1,0,cancer,19.094557552532578,44.23914422983309,9.327365962930045e-11,491.8186664581299,5.758871883153915,2.183095784857869e-05,11181642,3.9378299713134766,18.91460132598877,4.80330574549407,2.9542094086002755,2.2242021795497324,0.21577289489858636,0.12301915933307506,0.5664836793549864,2.0038912296295166,0.3056237995624542,0.20413738489151,0.7045146822929382,2.0928399562835693,0.27980947494506836,0.17028005421161652,0.6478246450424194,8,1.834549218416214,2.94601970911026,warmup,T,3,0.1964569091796875,0.00023746490478515625
1,1,cancer,22.16825438624486,50.14806049783759,1.1921373610501718e-10,911.7100715637207,6.218082457780838,2.1772535546915606e-05,11181642,4.012988090515137,18.910298347473145,4.712273727442256,3.010593971797702,2.2242021795497324,0.21577289489858636,0.12301915933307506,0.5664836793549864,2.0154311656951904,0.3000955581665039,0.19876518845558167,0.6982002258300781,2.0979151725769043,0.2785033881664276,0.16916857659816742,0.6450371146202087,8,1.884657621383667,3.2095763087272644,warmup,T,3,0.1964569091796875,0.00023746490478515625
1,2,cancer,31.190714896463067,60.05790627030238,1.7220465331480028e-10,2061.3765716552734,7.843846827745438,2.185004086641129e-05,11181642,3.0987749099731445,18.915982246398926,6.104342133892797,2.3247397832983743,2.2242021795497324,0.21577289489858636,0.12301915933307506,0.5664836793549864,2.00510311126709,0.3120606243610382,0.21725067496299744,0.7072222828865051,2.089506149291992,0.2775430381298065,0.16705165803432465,0.6485117673873901,8,1.3685488160699606,2.4109133072197437,warmup,T,3,0.1964569091796875,0.00023746490478515625
1,3,cancer,22.858549605462624,59.321920877727884,1.6878670683340147e-10,324.33085441589355,7.192865014076233,2.1900494175497442e-05,11181642,3.5227231979370117,18.9152193069458,5.369487820678898,2.642791103489094,2.2242021795497324,0.21577289489858636,0.12301915933307506,0.5664836793549864,2.001411199569702,0.307828813791275,0.2074120193719864,0.705355167388916,2.0885207653045654,0.2829210162162781,0.17518463730812073,0.6485692858695984,8,1.5986383855342865,2.6951394081115723,warmup,T,3,0.1964569091796875,0.00023746490478515625
1,4,cancer,20.78894431186177,52.54743909535819,1.3607449889097012e-10,122.86430597305298,6.918393820524216,2.2199174054549076e-05,11181642,3.597248077392578,18.926738739013672,5.261449400157159,2.6987006022907907,2.2242021795497324,0.21577289489858636,0.12301915933307506,0.5664836793549864,2.0165915489196777,0.3074193000793457,0.20025308430194855,0.6981201767921448,2.09087872505188,0.28027042746543884,0.16831983625888824,0.6475566625595093,8,1.6412367224693298,2.5597665905952454,warmup,T,3,0.1964569091796875,0.00023746490478515625
2,0,cancer,27.98942344840889,67.91366335206004,2.3782528724147767e-10,365.38991928100586,9.406406432390213,2.2707632524543442e-05,11181642,2.7870702743530273,18.944677352905273,6.7973446982075005,2.0908950581676646,2.0941181622111293,0.2775046097111248,0.16421731232487102,0.6444967083117975,1.838194727897644,0.37837839126586914,0.2781771719455719,0.7734452486038208,1.9324220418930054,0.34315457940101624,0.22448304295539856,0.7188464999198914,4,0.6984712183475494,1.7393263578414917,warmup,R,3,0.1934051513671875,0.00023746490478515625
